ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Example_Comment_English,Example_URL,Sense_IDs
XV000691,tkw,laro 'naka,,,my fresh coconut (to drink),,,,,SN000546
XV000692,tkw,okoro 'naka,,,my knife,,,,,SN000547
XV000693,tkw,kangele teuko enaka,,,my fishing hook,,,,,SN000547
XV000694,tkw,monone 'naka,,,my food chest,,,,,SN000548
XV000695,tkw,Uña ngaten' enaka i-wene tev' iu re.,,,My stuff (bags+) is up over there.,,,,,SN000548 ; SN001689 ; SN002279 ; SN002722
XV000696,tkw,Pi-avo ponu pi-abui ‘tool’ upa pi-ko me p-ajau toñaki na.,,,"We brought down some tools of ours, so we could start building a ship.",,,,,SN000548
XV000697,tkw,telepakau akapa,,,"our customs, our tradition, our culture",,,,,SN000549
XV000698,tkw,uro ape,,,his magic powers,,,,,SN000549
XV000699,tkw,Li-puie li-kilasi tadoe adapa.,,,They were addressing their god(s).,,,,,SN000549 ; SN001865 ; SN002051
XV000700,tkw,piene akapa,,,"our language, Teanu",,,,,SN000550
XV000701,tkw,piene adapa Vonovono,,,"the language of the Reefs, Äiwoo",,,,,SN000550
XV000702,tkw,buka ono,,,your book,,,,,SN000551
XV000703,tkw,diksoneri akapa,,,our dictionary,,,,,SN000551
XV000704,tkw,Ero m' eo enaka!,,,"Your breasts, they're my delicacy!",,,,,SN000552
XV000705,tkw,Ene wako.,,,I'm fine.,,,,,SN000555
XV000706,tkw,U-la u-min' ene!,,,Give it to me!,,,,,SN000556
XV000707,tkw,Li-botongo ene me ne-le.,,,They prevented me from going.,,,,,SN000556
XV000708,tkw,viabasa ene,,,my hair,,,,,SN000557
XV000709,tkw,bete ene,,,my bed,,,,,SN000557
XV000710,tkw,lusa ene,,,my shirt,,,,,SN000557
XV000711,tkw,Awa ene ni-ko u-ka.,,,[my desire says…] I want you to come.,,,,,SN000557
XV000712,tkw,"Ne basavono ponu, kulumoe Tetawo idi mamote li-te ene.",,,"At that time, the village of Tetawo was still inhabited. [lit. this village, people still lived there]",,,,,SN000558
XV000713,tkw,Ni-le ene.,,,I believe it. [lit. I go to it],,,fig. use of locative,,SN000558
XV000714,tkw,moe pe li-apinu ene,,,a house where people cook,,,,,SN000559
XV000715,tkw,kulumoe iadapa pe li-te ene pon,,,the village where they were living,,,,,SN000559
XV000716,tkw,ne moro po kape le-le le-katei kuo ene,,,the day when they were going to drag the canoe,,,,https://doi.org/10.24397/pangloss-0003350#S15,SN000559 ; SN001452 ; SN001838
XV000717,tkw,Ene?,,,Here?,,,as a question,,SN000561
XV000718,tkw,"Sekele iaba ene vitoko ne, takoie ne.",,,"Our garden is here, nearby this way.",,,as a predicate,,SN000561
XV000719,tkw,"Pele iono i-tatawoe ne temaka ene, ka ere.",,,"Your fishnet is damaged here, and there.",,,,,SN000561 ; SN000588 ; SN001806 ; SN002112 ; SN002194
XV000720,tkw,Dapa gete 'none na ta ene!,,,"My boys, here they are!",,,,,SN000561 ; SN001548
XV000721,tkw,"Ene, uie ae ne? – Ponu uie otovo.",,,"This thing, what kind of leaf is it? – That's sago leaves.",,,,,SN000562
XV000722,tkw,Ene totokale menu one.,,,This is a photo of my son.,,,,,SN000563 ; SN002358
XV000723,tkw,tili-ene,,,the fifth one,,,,,SN000564
XV000724,tkw,mwoe 'none,,,my house,,,,,SN000566
XV000725,tkw,kuo 'none,,,my canoe,,,,,SN000566
XV000726,tkw,topola 'none,,,my basket,,,,,SN000566
XV000727,tkw,uña namolo enone,,,my clothes,,,,,SN000566
XV000728,tkw,Enone!,,,It's mine!,,,predicate,,SN000566
XV000729,tkw,dapa gete 'none,,,my boys,,,,,SN000567
XV000730,tkw,piene 'none,,,my words,,,,,SN000568
XV000731,tkw,"Dapa uña menuko 'none tae, ponu uña dapa 'none!",,,"They aren't just my friends, they're my family.",,,,,SN000569
XV000732,tkw,Enga ini Lupo.,,,His name is/was Lupo.,,,,,SN000571
XV000733,tkw,"Vilo peini revo ponu, enga ini tongobe.",,,That seashore tree is called mangrove.,,,,,SN000571 ; SN002347
XV000734,tkw,Ni-mui enga temaka na.,,,I don't know the name of that place.,,,,,SN000571
XV000735,tkw,"Uk' one tilu, kape ne-vete enga da metae.",,,"My in-laws, I can't say their names out loud.",,,,,SN000571 ; SN000812 ; SN001358 ; SN002484
XV000736,tkw,"Udo ponu, enga ini tilu.",,,There are two sorts of bananas.,,,,,SN000572
XV000737,tkw,"Kava pon, noma, enga tete ne basa kulumoe na; enga tilu iote ka i-bu.",,,Our island used to have three types of kava; two of those types have disappeared.,,,,,SN000572
XV000738,tkw,"Banie i-waivo ñe idi ñe makone: makone iote, makone iote, makone iote... Enga makone tilu-tae.",,,"Banie instructed humans with dances: one dance, another one, another one again… Altogether, eight different types of dance.",,,deity,,SN000572
XV000739,tkw,"Li-teli avtebe, li-vo udo, uña ngatene engaenga.",,,"They planted taros, bananas, various things.",,,,,SN000573
XV000740,tkw,"Ne temaka kula nga ponu; na, engaiote.",,,"It's the case in some places; but here, it's different.",,,,,SN000574 ; SN001538
XV000741,tkw,"A-rom, na vilo engaiote! Vilo pon i-vio teve kiapa tae.",,,Look at this strange plant! We don't have it in our island.,,,,https://doi.org/10.24397/pangloss-0003353#S25,SN000575 ; SN002541 ; SN002566
XV000742,tkw,Pe kupa ponu makone engakula ia na iote ni-romo ka wako tamwalikose!,,,"In our place, we do have a few dances already, but this one I saw here was absolutely fabulous!",,,,https://doi.org/10.24397/pangloss-0003351#S64,SN000576
XV000743,tkw,Emele pon i-engi menuko.,,,It's a woman kissing a bird.,,,,,SN000578
XV000744,tkw,Ni-ko ni-engi eo.,,,I want to kiss you.,,,,,SN000578
XV000745,tkw,Abu u-engi menu one.,,,Come give a kiss to my baby.,,,,,SN000578
XV000746,tkw,"Ia eo, eo a-ka vele?",,,"And you, where are you coming from?",,,,,SN000580
XV000747,tkw,Eo u-te. U-ka u-te u-romo.,,,"You, sit down. Come have a look.",,,,,SN000580
XV000748,tkw,Eo wako?,,,Are you alright?,,,,,SN000581
XV000749,tkw,Ne-viñ’ eo?,,,Shall I tell you?,,,,https://doi.org/10.24397/pangloss-0003352#S95,SN000582 ; SN002556
XV000750,tkw,Ni-ovei ni-ko ngatene abia teve eo.,,,I know you have a lot of work. [lit. many things are with you],,,preposition [teve](teve_1),,SN000582 ; SN001693
XV000751,tkw,enga eo,,,your name,,,,,SN000583
XV000752,tkw,bete eo,,,your bed,,,,,SN000583
XV000753,tkw,lusa eo,,,your shirt,,,,,SN000583
XV000754,tkw,awa eo,,,your desire,,,,,SN000583
XV000755,tkw,Awa eo i-viane?,,,Do you want it?,,,,,SN000583
XV000756,tkw,U-re mevia eo.,,,Have some rest [lit. release your breath].,,,,,SN000583
XV000757,tkw,I-epele tamwase.,,,He's very clever.,,,,,SN000585
XV000758,tkw,epu iape,,,his/her grandmother,,,,,SN000586
XV000759,tkw,Epu 'none na ta!,,,That's my grandmother.,,,,,SN000586
XV000760,tkw,"Dapa kula li-koie ere, se vono Lege re.",,,"Some men went ashore over there, in the area of Lengge there.",,,,,SN000588
XV000761,tkw,"Li-le li-vagas’ ere, tetake n’ adie ngamuli.",,,They went all the way to that point over there – out there towards the ocean.,,,,https://doi.org/10.24397/pangloss-0003270#S4,SN000588 ; SN002231
XV000762,tkw,jokoro peini ero,,,bamboo for freshwater,,,,,SN000589 ; SN000761
XV000763,tkw,ero medigo,,,cold water,,,,,SN000589 ; SN001323
XV000764,tkw,"Pi-teli awoiu, pi-loko ero mina.",,,"Once we've planted it, we add water to it.",,,,,SN000589
XV000765,tkw,Le-lebie ne ero.,,,Let's bathe in the river.,,,,,SN000590
XV000766,tkw,I-le i-kotu i-katau ero iote.,,,He was running alongside a stream.,,,,https://doi.org/10.24397/pangloss-0003352#S83,SN000590
XV000767,tkw,"Ero ponu, enga ini ‘Ero Meie’.",,,That river was called ‘River Meie’.,,,,https://doi.org/10.24397/pangloss-0003352#S84,SN000590
XV000768,tkw,ero korone,,,[powerful liquid] alcohol,,,,,SN000591
XV000769,tkw,Viabasa dapa Tekupie ero.,,,Tikopians have long hair.,,,,,SN000592
XV000770,tkw,Li-anu ero pana ka li-kanu.,,,"We drink tea, and chew betelnut.",,,,,SN000593
XV000771,tkw,"Li-le li-te teta-vene pon, ne waluko ero.",,,"They went to stay uphill over there, along the river.",,,,,SN000594 ; SN002236 ; SN002678
XV000772,tkw,I-katei ero ne et' iape.,,,He's sucking on the milk of his mother.,,,,,SN000595 ; SN000852 ; SN001574
XV000773,tkw,ero me buluka,,,cow's milk,,,,,SN000595
XV000774,tkw,Besungale ini emele ero me ini biouro.,,,Besungale is a woman with long breasts.,,,mythology,,SN000597 ; SN001311
XV000775,tkw,Ini mamote emele mwatebe; ero ka i-vio.,,,"She was still a virgin, but her breasts were already sticking out.",,,breast shape as a sign of age in women,,SN000597 ; SN001531 ; SN002561
XV000776,tkw,Ero me ini! Ero wako!,,,Her breasts! Such beautiful breasts!,,,joc,,SN000597
XV000777,tkw,"Temaka etapu, temaka pe li-tamava ene.",,,A sacred place is one where rituals are performed.,,,,,SN000598
XV000778,tkw,"Aia God, enga eo etapu.",,,"Our Father God, hallowed be Thy name.",,,,,SN000599
XV000779,tkw,Lek’ iape etapu.,,,[his cousin is ‘taboo’] His (female) cousin is to be highly respected.,,,kin relation,https://doi.org/10.24397/pangloss-0003352#S68,SN000600
XV000780,tkw,Ngatene pon etapu tamwase pe li-vet’ piene ñi.,,,This topic is very delicate to talk about.,,,,,SN000601 ; SN001692
XV000781,tkw,Etapu! Ña leka kape i-rom’ eo!,,,Don't! Your cousin might see you!,,,,https://doi.org/10.24397/pangloss-0003352#S58,SN000602 ; SN000636 ; SN001640
XV000782,tkw,U-koie etapu!,,,Don't go in!,,,,,SN000603
XV000783,tkw,U-vet' ene etapu!,,,Don't give me away!,,,,,SN000603 ; SN002487
XV000784,tkw,U-met' eo ñe ene etapu!,,,Don't shy away from me!,,,,,SN000603 ; SN001362 ; SN001644
XV000785,tkw,"Pe-madau etapu, ponu menuko iaba.",,,"Don't be scared, this is our friend.",,,,https://doi.org/10.24397/pangloss-0003351#S151,SN000603 ; SN001212 ; SN001347
XV000786,tkw,U-wai u-mabui! Kiane ’tapu!,,,Paddle slowly! Not too fast!,,,following adjective,https://doi.org/10.24397/pangloss-0003351#S36,SN000603 ; SN000886 ; SN001209
XV000787,tkw,Mat’ eo nara kape u-wasi ñe idi ’tapu.,,,Be careful not to give (the secret) away. [lit. make sure that you shall not reveal…],,,,https://doi.org/10.24397/pangloss-0003269#S10,SN000604
XV000788,tkw,et' one,,,my mother,,,,,SN000605 ; SN001734
XV000789,tkw,ete,,,your mother,,,,,SN000605
XV000790,tkw,Et' ie ngele na?,,,Whose mother is this?,,,,,SN000605 ; SN000673
XV000791,tkw,Emele pon i-mene i-te i-etengi.,,,"The woman refused, and sat down crying.",,,,https://doi.org/10.24397/pangloss-0003352#S74,SN000609 ; SN000635
XV000792,tkw,Dapa iape li-etengi ñe ini ka li-lu bete.,,,"His family mourned him, and began the mat ceremony.",,,,,SN000610 ; SN000663
XV000793,tkw,Pusi i-etengi.,,,The cat is meowing.,,,,,SN000611 ; SN001877
XV000794,tkw,Noma ini nga et’ iape!,,,His face is just like his mum's!,,,,,SN000615 ; SN001655
XV000795,tkw,Kape u-ali pele ponu? – Ewe.,,,Are you going netfishing? – Yes.,,,,,SN000620
XV000796,tkw,"A-ko u-ka u-katau keba? – Ewe, awa ene i-viane, ia mou.",,,"Do you want to come with us? – Yes, I'd love to; but not yet.",,,,,SN000620
XV000797,tkw,Dapa li-te Franis.,,,They live in France.,,,,,SN000621
XV000798,tkw,dapa Franisi,,,the French,,,,,SN000621
XV000799,tkw,toñaki iadapa Franisi,,,the ship of the French,,,,,SN000621
XV000800,tkw,Ni-garei eo pe u-le re!,,,I forbid you from going there!,,,,,SN000622 ; SN001102
XV000801,tkw,"Gea dapa, uña tieli ete.",,,Your uncles are your mother's siblings.,,,,,SN000623
XV000802,tkw,Ai’ iape gi’ one.,,,His father is my uncle.,,,,,SN000623
XV000803,tkw,"Gi’ one, tieli et’ one mwalkote; nga tae, ini men’ ie tili’ one emele.",,,"My ‘gea’ is either my mother’s brother [uncle], or the son of my sister [nephew].",,,,,SN000624
XV000804,tkw,"U-katau anoko u-vene u-le amjaka, u-vagasi pongo gilita.",,,"Follow the path upwards a little bit, and you'll reach the top of the hill.",,,,,SN000628 ; SN001856 ; SN002423 ; SN002466
XV000805,tkw,Laperus i-te ne gilita apilaka te’ mo’ ie teliki re.,,,Lapérouse was standing on the small hill close to the chief's house over there.,,,,https://doi.org/10.24397/pangloss-0003270#S5,SN000628
XV000806,tkw,Ni-lengi mama gita.,,,I can hear the sound of a guitar.,,,,,SN000629 ; SN001146 ; SN001239
XV000807,tkw,gi’ one,,,my uncle,,,,,SN000630
XV000808,tkw,gi' iape,,,his/her nephew,,,,,SN000630
XV000809,tkw,U-go eo!,,,Put on your breechcloth!,,,,,SN000631
XV000810,tkw,Ka revo i-koie ka le-gulei kuo pon le-lui.,,,"As the sea water swole inland, they hauled their canoe in.",,,,https://doi.org/10.24397/pangloss-0003350#S35,SN000632
XV000811,tkw,"Ni-le ne ngogoro n-i, ia ni-lengi ngele i-laiaini tae.",,,"As I was walking in the forest, I called out, but I heard nobody reply.",,,,,SN000634 ; SN001074
XV000812,tkw,I-aiae mijaka.,,,It's a bit difficult.,,,,,SN000635
XV000813,tkw,U-la i-ka kiane!,,,Give it quickly! [lit. you take it comes fast],,,,,SN000636
XV000814,tkw,Ia! Okor' ono!,,,Here you are! This is your knife.,,,,,SN000637
XV000815,tkw,"Li-romo nga voko, ia pon voko tae.",,,"It looks like a stone, but it's not a stone.",,,,https://doi.org/10.24397/pangloss-0003353#S16,SN000638 ; SN001929 ; SN002058 ; SN002598
XV000816,tkw,"Li-romo wako, ia idi li-madau.",,,"They were beautiful, but scary.",,,dancing masks,https://doi.org/10.24397/pangloss-0003351#S162,SN000638
XV000817,tkw,li-ia aero,,,file shells (to make shell-money),,,,,SN000639
XV000818,tkw,Dapa noma li-vo kangele kome li-ia kome.,,,People in the past used to break giant clams and grind them into axes.,,,,,SN000639 ; SN000973 ; SN001612
XV000819,tkw,Li-ia iawo ñe vilo.,,,We light fire with (pieces of) wood.,,,,,SN000640 ; SN000665 ; SN002544
XV000820,tkw,Ba-pei keba ñe moe iaba.,,,We're quite happy with / fond of our house.,,,,,SN000642 ; SN001794
XV000821,tkw,Kupa pi-nabe emele iamela i-ka teve men’ iaba.,,,We are betrothing your daughter to our son.,,,,,SN000642 ; SN000661 ; SN001553
XV000822,tkw,Ka iolulu! tebo! ngiro! iabuiepa!,,,There was thunder! rain! wind! thunder again!,,,,https://doi.org/10.24397/pangloss-0003352#S106,SN000643 ; SN000698
XV000823,tkw,teliki iadapa,,,their chief(s),,,,https://doi.org/10.24397/pangloss-0003351#S42,SN000645
XV000824,tkw,Li-wowo ñe viko iadapa.,,,They swam with their treasures.,,,,,SN000645 ; SN002771
XV000825,tkw,I-te tev' ai' iape me et' iape ne moe iadapa.,,,"He lives with his parents, in their house.",,,,,SN000645
XV000826,tkw,toñaki iadapa Franisi,,,the ship of the Frenchmen,,,,,SN000646
XV000827,tkw,makone iadapa tadoe,,,dance of the spirits,,,,,SN000646 ; SN002050
XV000828,tkw,"Pon teliki iadapa pe li-maluo, ka Teliki Makumoso iadapa po li-bu.",,,There are chiefs for those who live; but the Supreme Lord for those who are dead.,,,+relative clause,,SN000646
XV000829,tkw,iadiro peini luro,,,midrib of a coconut palm,,,,,SN000647
XV000830,tkw,Li-ejau iadiro peini otovo me iebe.,,,You can turn (a bunch of) sago midribs into a broom.,,,,,SN000648
XV000831,tkw,"Tae, ponu ajekele, iae!",,,"Leave that, that's the rubbish! Yuck!",,,,,SN000649
XV000832,tkw,iaero Paiu,,,the river Paiou,,,,,SN000650
XV000833,tkw,Ni-lebie ne iaero.,,,I bathed in the river.,,,,,SN000650
XV000834,tkw,ne pwama iaero,,,on the river bank,,,,,SN000650
XV000835,tkw,al’ ero ne iaero,,,the river mouth [lit. foot],,,,,SN000650
XV000836,tkw,Li-iaibi samame ero.,,,You mix (it) with water.,,,,,SN000652 ; SN001956
XV000837,tkw,"Ka telepakau pe na, lek’ iaidi, idi pe li-romo idi tae. Kape le-wamu idi ñe idi.",,,"In our culture, cross-cousins [lit. people's cross-cousins] must not look at each other. They must hide from each other.",,,,https://doi.org/10.24397/pangloss-0003352#S51,SN000653
XV000838,tkw,Moe iaidi i-lemoli.,,,This is just a house for ordinary people.,,,,,SN000654 ; SN001143
XV000839,tkw,"Pe kulumoe ponu, kulumoe iaidi mwaliko tae.",,,That island was not occupied by humans.,,,,https://doi.org/10.24397/pangloss-0003351#S28,SN000654
XV000840,tkw,Kape u-le nanana? – Iaini!,,,Will you go back today? – Yes!,,,,,SN000655
XV000841,tkw,mwoe iaipa,,,your house,,,,,SN000656
XV000842,tkw,Ni-romo makone iaipa wako po pi-pinoe.,,,"I'm really enjoying your dances, that you've been performing.",,,,https://doi.org/10.24397/pangloss-0003351#S62,SN000656
XV000843,tkw,teliki iakapa na pe ka i-re kiapa na,,,our leader who has left us today,,,,,SN000657 ; SN000769 ; SN001910
XV000844,tkw,Na kuo iakapa tae! Na bwara kuo ie damala.,,,That is not one of our ships. That must be a ship of Westerners.,,,,,SN000657
XV000845,tkw,Dapa iakapa ne Popokia mamote li-mui eo tae.,,,Our people in Vanikoro have not forgotten you yet.,,,,,SN000658
XV000846,tkw,Laperus i-ka tev’ kiapa ne kulumoe iakapa Vanikoro.,,,"Lapérouse came among us, in our island of Vanikoro.",,,,,SN000659 ; SN001092 ; SN002259 ; SN002438
XV000847,tkw,Menu iakia mamote apilaka.,,,Our child is still small.,,,,,SN000660
XV000848,tkw,E! Kia na ka la-kovi basakulumoe iakia na ta!,,,Hey! We sailed past our island!,,,sailing,https://doi.org/10.24397/pangloss-0003351#S24,SN000660 ; SN000992
XV000849,tkw,Menuko iakia ka li-tomoe!,,,Our friends have vanished!,,,,https://doi.org/10.24397/pangloss-0003351#S76,SN000660
XV000850,tkw,Ni-p' ene tamwase ñe men' iamela.,,,[lit. I'm delighted about…] Congratulations on your baby!,,,,,SN000661 ; SN001793
XV000851,tkw,Awa ene i-viaene imaluo iape.,,,I like her character.,,,,,SN000662 ; SN000687 ; SN002516
XV000852,tkw,Mwaliko iape i-romo emel' iape i-wene teve iawo.,,,The man saw his wife lying by the fire.,,,,https://doi.org/10.24397/pangloss-0003353#S14,SN000662 ; SN002258
XV000853,tkw,Ngele nga i-le i-toe kuo iape ne ngogoro.,,,Anyone can go cut his canoe in the bush.,,,,https://doi.org/10.24397/pangloss-0003350#S5,SN000662 ; SN001701
XV000854,tkw,et’ iape,,,his/her mother,,,pronunc. [eˈʧape],,SN000664
XV000855,tkw,ai' iape,,,his/her father,,,,,SN000664
XV000856,tkw,Li-le li-wamabu teve ai’ iape me ete iape.,,,They went to ask (permission) from her parents.,,,,,SN000664 ; SN002261 ; SN002682
XV000857,tkw,Moe enone i-vongo ne iawo.,,,My house perished in the fire.,,,,,SN000665 ; SN002613
XV000858,tkw,Program kula idi li-la moli.,,,Some software programs are free [lit. people give them unconstrained].,,,subject,,SN000666 ; SN001434
XV000859,tkw,"Tamate li-romo wako, ia idi li-madau.",,,"The dancing masks were beautiful, but scary. [lit. but one feared them]",,,,https://doi.org/10.24397/pangloss-0003351#S162,SN000666 ; SN002077
XV000860,tkw,U-labu idi motoro!,,,Be respectful to people!,,,object,,SN000666
XV000861,tkw,Tongolukilo ponu wako peini basa idi i-meli.,,,This medicinal plant is useful against headaches.,,,possessor of inalienable noun,,SN000666 ; SN002349 ; SN002663
XV000862,tkw,"Ka telepakau pe na, lek’ iaidi, idi pe li-romo idi tae. Kape le-wamu idi ñe idi.",,,"In our culture, cousins must not look at each other. They must hide from each other.",,,reciprocal construction,https://doi.org/10.24397/pangloss-0003352#S51,SN000666 ; SN000810
XV000863,tkw,Dapa Niteni li-ovei pe li-e idi.,,,People from Nendö are cannibals. [they can eat people],,,,,SN000667
XV000864,tkw,"Teliki Makumoso, ai’ akapa, i-waivo idi ñe telepakau, ñe piene, i-waivo idi ñe ngatene pe li-ajau…",,,"Our Elderly Lord, our father, he's the one who taught us (humans) our culture, our language, everything we do…",,,,,SN000667
XV000865,tkw,idi bworo,,,Black people,,,,,SN000668
XV000866,tkw,idi abia ne kulumoe,,,everyone in the village,,,,,SN000668 ; SN000670
XV000867,tkw,idi wopine,,,"great men, dignitaries",,,,,SN000668
XV000868,tkw,I-ovei pe i-vete piene samame idi mwaliko.,,,They were not exactly gods: they were able to communicate with humans.,,,,https://doi.org/10.24397/pangloss-0003351#S29,SN000668
XV000869,tkw,Idi abia li-sube.,,,Many people get it wrong.,,,,,SN000669
XV000870,tkw,Idi abia tae wako.,,,It's better if there aren't too many people.,,,negation,,SN000669 ; SN002665
XV000871,tkw,toñaki ie Laperusi,,,Lapérouse's ship,,,,,SN000671
XV000872,tkw,mwoe ie telupe,,,a pigeon's nest,,,,,SN000671 ; SN001418 ; SN002190
XV000873,tkw,Opola men’ ie Vasango.,,,"Opola, the son of Vasango",,,,,SN000671
XV000874,tkw,"Moe iaba pwo; iote iu, ie mwaliko iote.",,,"Our house is located below; as for the one above, it belongs to someone else.",,,,,SN000672 ; SN000705
XV000875,tkw,Enon' tae; ie Esikiel.,,,It's not mine; it's Ezekiel's.,,,,,SN000672
XV000876,tkw,"Kape i-vokoi’ iebe. Iebe kula kuledi pon, kape i-vokoi’ i-vio ne webwe ne ma ini.",,,"He can cut a fern palm: some ferns are small, and he can stick one in his armband, on his arm.",,,ornamental use,https://doi.org/10.24397/pangloss-0003350#S12,SN000675
XV000877,tkw,Li-ejau iadiro peini otovo me iebe.,,,You can turn (a bunch of) sago midribs into a broom.,,,,,SN000676 ; SN001309
XV000878,tkw,Ini i-pidi men' iape ñe iebe.,,,He flogged his child with a besom.,,,,,SN000676 ; SN001814
XV000879,tkw,Bwara le-ko le-watebo iepiene teve uña dapa wopine.,,,We should rather enquire about those traditional stories from the elders.,,,,,SN000677 ; SN002261 ; SN002705
XV000880,tkw,"N-atevo iepiene amjaka peini Laperus. Iepiene pon na, ni-lengi tev' et' one.",,,"I'll tell a short story about Lapérouse. This story, I heard it from my mother.",,,,,SN000677 ; SN001851
XV000881,tkw,"Li-bei bete pon, li-atevo iepiene pe noma, li-oburo, li-vongo ka li-mokoiu.",,,"During funeral ceremonies, we tell old stories, we sing, we eat, and then we go to sleep.",,,,,SN000677
XV000882,tkw,wowo iero,,,the top of the Casuarina tree,,,,,SN000678 ; SN002770
XV000883,tkw,Ije ene i-makoe.,,,I have a broken tooth.,,,,,SN000681 ; SN001225
XV000884,tkw,imuo tilu,,,two thousand,,,,,SN000688
XV000885,tkw,idi imuo iune,,,one thousand people,,,,,SN000688
XV000886,tkw,Ai-ovei pe u-samame ene ñe imuo tili we tae?,,,Could you help me with five thousand (dollars)?,,,,,SN000688 ; SN001959
XV000887,tkw,Ini i-lebie men’ iape.,,,She's bathing her child.,,,,,SN000690 ; SN001126 ; SN001341
XV000888,tkw,"Momoso iono, ini bworobworo, we koro?",,,"Your wife, is she black or white?",,,,,SN000691 ; SN001447
XV000889,tkw,Jeboro ini tongolukilo iote.,,,Wild basil (it) is a medicinal plant.,,,,,SN000691
XV000890,tkw,Ai’ one i-ovei piene Tetevo ka ni-ko u-vagasi ini pon ta.,,,"My father knows the language of Utupua, I suggest you contact him.",,,,,SN000692 ; SN000921
XV000891,tkw,enga ini,,,his/her name,,,,,SN000693
XV000892,tkw,Awa ini i-viane.,,,[his neck/mind hits it] He wants it.,,,,,SN000693
XV000893,tkw,Die ini i-meli.,,,[Her back hurts.] She's having labour contractions.,,,,,SN000693 ; SN001331
XV000894,tkw,Ini ta!,,,That's it!,,,with focus [ta](ta_1),,SN000694 ; SN002027
XV000895,tkw,“A-ko ae? A-ko u-ka u-la iawo?” Ini i-ko “Io! Ne-la iawo mijaka me ne-le ne-tau namuko 'naka.”,,,“Do you want some fire?” – “Yes!” she replied. “I just need a bit of fire so I can cook my fish.”,,,,,SN000695
XV000896,tkw,Io. Iepiene po ne-ko ni-atevo na…,,,"Alright, so… The story I want to tell today…",,,,,SN000696
XV000897,tkw,Io ponu mijaka ponu me u-ovei…,,,"Alright, that was just a short message to let you know…",,,in writing,,SN000696
XV000898,tkw,eo ka uña damiliko iono,,,you and your children,,,,,SN000699
XV000899,tkw,Piene iono vengela tamwase.,,,Your explanations are extremely clear.,,,,,SN000699 ; SN002471
XV000900,tkw,Ebieve iono tivi? – Uluko tamana teva.,,,[lit. How many are your years?] How old are you? – Fourteen.,,,,,SN000699 ; SN002299
XV000901,tkw,Et’ adapa pon “Takulalevioe”. Enga ini iote li-ko “Takole”.,,,"Their mother was called Takulalefioe. She also had another name, Takole.",,,,https://doi.org/10.24397/pangloss-0003351#S91,SN000700
XV000902,tkw,"Tae, ini tae. Iote teve.",,,"No, it's not her. It's someone else. [lit. another one from her]",,,predicate,,SN000700 ; SN002263
XV000903,tkw,ebieve iote k' awoiu ponu,,,[the other year that finished] last year,,,,,SN000701
XV000904,tkw,Kape ne-tabo ne-le metele iote pe kape i-ka na.,,,I'll go again next month [lit. the other month that will come].,,,,,SN000701 ; SN000774
XV000905,tkw,"Li-tau sekele ponu awoiu, moro iote li-le li-teli avtebe.",,,"Once they had burnt their gardens, the next day they planted some taros.",,,,https://doi.org/10.24397/pangloss-0003351#S102,SN000701 ; SN001456 ; SN002115
XV000906,tkw,Pi-ko me p-ajau toñaki iote.,,,We want to build a boat.,,,,,SN000702
XV000907,tkw,Eo unuo iote!,,,You're a thief!,,,,,SN000703 ; SN002398
XV000908,tkw,"Tabuluburi, tonge iote pine pe li-loko puro i-koie ene.",,,A quiver is a long sheath where you can insert your arrows.,,,,https://doi.org/10.24397/pangloss-0003352#S129,SN000703 ; SN002345
XV000909,tkw,Vilo iote pine i-sabu ne anoko.,,,[There's] a large tree felled on the road.,,,existential,,SN000704 ; SN002542
XV000910,tkw,Mwaliko iote da emel’ iape.,,,[once upon a time there was] a man and his wife,,,,https://doi.org/10.24397/pangloss-0003351#S1,SN000704
XV000911,tkw,"Iote pe eo a-vete ponu, i-wene ne moe 'none.",,,The one you were mentioning is in my home.,,,+ relative clause,,SN000705 ; SN002485
XV000912,tkw,"I-romo voko tilu. Iote wabulubu, iote teporo.",,,"He saw two stones: one round, one flat.",,,,https://doi.org/10.24397/pangloss-0003352#S86,SN000706 ; SN002228 ; SN002598 ; SN002648
XV000913,tkw,"I-ve menu tilu: iote emele, iote mwalikote.",,,"She had two babies: one girl, one boy.",,,,,SN000706 ; SN001526
XV000914,tkw,Ni-toe jokoro iote me susuko me ngasune semame jokoro iote.,,,I cut a bamboo rod to the same length as the other one.,,,,,SN000706 ; SN000759 ; SN001686
XV000915,tkw,"Li-bi vongoro we teliki iote, teliki iote, i-katau dapa awoiu.",,,"They collected almonds for each chief, one after the other, enough for them all.",,,,https://doi.org/10.24397/pangloss-0003351#S99,SN000706
XV000916,tkw,Ise eo enaka!,,,I want your sex!,,,from a woman to a man,,SN000708
XV000917,tkw,Ise ene i-to!,,,I have a boner!,,,,,SN000708 ; SN002307
XV000918,tkw,ne otovo iu,,,up in the thatched roof,,,,,SN000709
XV000919,tkw,"Moe iaba pwo; iote iu, ie mwaliko iote.",,,"Our flat is located below; as for the one above, it belongs to someone else.",,,storey house,,SN000709 ; SN001418 ; SN001891
XV000920,tkw,basa re po i-wen' iu re,,,that mountain up over there,,,,,SN000709 ; SN001901
